"","alpha_j","sign_alpha_j","beta_j","Period_j","sigma_j"
"Score1_Sig_Mean",-0.0773484845352139,-0.8,0.856944885944857,0.206672541371181,1.03115324361024
"Score1_Sig_sd",0.0732548415041208,0.610257153258729,0.320745347207758,0.282003640594927,0.29929630111682
"Score1_Sig_No",30,30,30,30,30
"Score1_Insig_Mean",-0.0598670595755672,-0.705882352941177,0.796322714779742,0.332669142450441,1.12942306249945
"Score1_InSig_sd",0.0645738013251668,0.718981255907142,0.281420845782834,0.387250622061047,0.32205142470302
"Score1_InSig_No",34,34,34,34,34
"Score1_t_test_pval",0.318214650258111,0.573209986882409,0.42761788407328,0.139025857389183,0.210682369782566
"Score2_Sig_Mean",-0.0540096824443382,-1,0.644497284719831,0.234442068775273,1.1609578507738
"Score2_Sig_sd",0.0471871718701911,0,0.246012640939154,0.273432645455035,0.294197171143205
"Score2_Sig_No",12,12,12,12,12
"Score2_Insig_Mean",-0.0713041994671855,-0.692307692307692,0.866333682004211,0.282646581906676,1.06545167738467
"Score2_InSig_sd",0.0728530401728182,0.728642614957309,0.297373774106516,0.361450529443573,0.317259622059036
"Score2_InSig_No",52,52,52,52,52
"Score2_t_test_pval",0.31768336544414,0.00367499207560896,0.0140649674960584,0.611581220725057,0.331687477198963
"Score3_Sig_Mean",-0.0854375150443354,-1,0.795294551850548,0.365674603174603,1.19418169631729
"Score3_Sig_sd",0.103822354696227,0,0.288559872977838,0.388162891334451,0.429116115434832
"Score3_Sig_No",5,5,5,5,5
"Score3_Insig_Mean",-0.0665889319729496,-0.728813559322034,0.82723468002719,0.265806001162329,1.07396733816444
"Score3_InSig_sd",0.066090467516865,0.690589664945991,0.302796595026765,0.343897330528397,0.304312900858972
"Score3_InSig_No",59,59,59,59,59
"Score3_t_test_pval",0.708905372198941,0.00379449640104385,0.822693514396221,0.603762690360058,0.570210454016228
"F_test_Sig_Mean",-0.0770792154745644,-0.931034482758621,0.793641282068275,0.252841373537867,1.07773800844543
"F_test_Sig_sd",0.0587275468658839,0.371390676354104,0.279348787659136,0.29453741568606,0.289280247348653
"F_test_Sig_No",29,29,29,29,29
"F_test_Insig_Mean",-0.060589637510381,-0.6,0.850506334310771,0.290815064338636,1.08801654823917
"F_test_InSig_sd",0.0761602089200765,0.811679449913428,0.317122188162541,0.385628317330392,0.335609256456252
"F_test_InSig_No",35,35,35,35,35
"F_test_t_test_pval",0.332210301378049,0.0359868591495693,0.448765055718661,0.656961034569359,0.895756680582079
