"","mean","sd","lq","median","uq","rej_1","rej_5","rej_10"
"Intercept",-0.200335287483976,1.03676406383609,-0.746317249416094,-0.0323141864459977,0.358465783294877,0.1875,0.328125,0.40625
"CPI",0.705627867999681,0.288489644093633,0.541369029572706,0.730768379737749,0.921457876829824,0.921875,0.9375,0.953125
"Mean",0.498600018251707,0.433075159878354,0.183444801621821,0.400114155401439,0.75628329468231,0.546875,0.734375,0.796875
"Score_1",0.0994422014646511,0.454480522472935,-0.157920315299811,0.177916689152069,0.326639047905401,0.265625,0.34375,0.484375
"Score_2",0.0490066673114438,0.458280183539892,-0.185203618861509,0.03877006800995,0.243008278276655,0.046875,0.09375,0.15625
"Score_3",-0.00374814490141784,0.44432769280769,-0.163801022309396,0.0163407810029527,0.223179589958913,0.03125,0.078125,0.09375
"UNEMP",-0.0551877309814025,0.0822440389783697,-0.0987465774910773,-0.0532248937770237,-0.00379454760467,0.234375,0.421875,0.515625
"F-test",NA,NA,NA,NA,NA,0.1875,0.359375,0.40625
"Adj_R2",0.492500589203924,0.24311708451572,0.291214204034089,0.507749352370354,0.66634887838084,NA,NA,NA
"No_Obs",243.46875,89.6355883032861,162.75,223,312.75,NA,NA,NA
