"","mean","sd","lq","median","uq","rej_1","rej_5","rej_10"
"Intercept",0.740319269263632,0.741537802041509,0.291184140803022,0.771502929014099,1.05235726694552,0.40625,0.578125,0.65625
"CPI",0.82425001559853,0.299841804309819,0.678951983848257,0.878256997588216,1.02494204038496,0.953125,0.96875,0.96875
"Kurt",0.00834640418735405,0.0262247321322441,-0.00285897677456296,0.00568021015616656,0.0165470002352406,0.015625,0.03125,0.09375
"Score_1",0.078267248855925,0.45481553294092,-0.214875415880304,0.170407921409276,0.347146661369843,0.21875,0.375,0.53125
"Score_2",0.364821585060019,0.452005473107962,0.0268020811167507,0.27798479962604,0.592233819859913,0.078125,0.203125,0.296875
"Score_3",-0.0748791391900483,0.64936751410068,-0.383439999905581,-0.0740825463745385,0.188354951816887,0.03125,0.125,0.171875
"UNEMP",-0.0706424955818939,0.0700638213145787,-0.106585504052864,-0.0562970133624913,-0.0176246132306944,0.328125,0.421875,0.484375
"F-test",NA,NA,NA,NA,NA,0.28125,0.453125,0.515625
"Adj_R2",0.467244082776305,0.249999131420325,0.282569123424977,0.466405497153524,0.640783253098379,NA,NA,NA
"No_Obs",243.46875,89.6355883032861,162.75,223,312.75,NA,NA,NA
