"","mean","sd","lq","median","uq","rej_1","rej_5","rej_10"
"Intercept",0.976700754995167,1.2334266872542,0.270038982071584,0.813225521348423,1.65700140459346,0.375,0.484375,0.53125
"CPI",0.809314430444111,0.288822242868882,0.676798033103963,0.849078031915277,1.01329885372966,0.953125,0.96875,0.96875
"SD",-0.279483308675457,1.4351644670352,-1.2095001980256,-0.130624676080981,0.610700836124894,0.1875,0.40625,0.46875
"Score_1",0.325223360197324,0.881101388857592,-0.239348902278507,0.268401813053715,0.970566482940133,0.09375,0.25,0.359375
"Score_2",0.385883082536916,0.472625494061162,0.0325749491477769,0.297228465777641,0.654113367713689,0.109375,0.265625,0.328125
"Score_3",0.0923603223753672,0.556318934530054,-0.147737235545233,0.00302029860160578,0.405163226530765,0.046875,0.15625,0.21875
"UNEMP",-0.0657279155280631,0.0683394323466589,-0.0991112728276996,-0.0507430921699198,-0.011235306159385,0.328125,0.390625,0.453125
"F-test",NA,NA,NA,NA,NA,0.140625,0.25,0.421875
"Adj_R2",0.47598787485227,0.247200053508449,0.297795417316303,0.476484521205648,0.641007857171241,NA,NA,NA
"No_Obs",243.46875,89.6355883032861,162.75,223,312.75,NA,NA,NA
