"","mean","sd","lq","median","uq","rej_1","rej_5","rej_10"
"Intercept",0.757159691805258,0.758970132822687,0.301643395543792,0.819523084880433,1.0791136944606,0.453125,0.625,0.75
"CPI",0.823602622683003,0.302773770414528,0.679639295149075,0.868276203926332,1.03032397908192,0.953125,0.96875,0.984375
"Skew",-0.0359464982010465,0.148369068655929,-0.107825629602322,-0.0364466034746337,0.00203316152802413,0.015625,0.078125,0.125
"Score_1",0.0622849362552833,0.458665596115068,-0.187235107052956,0.131422656371355,0.388147095107434,0.1875,0.390625,0.453125
"Score_2",0.515687049274725,0.767191723157511,0.157617642381649,0.385103986140155,0.985659573910201,0,0.125,0.234375
"Score_3",-0.0247584674075744,0.467051102080015,-0.220271370046865,0.0178057956682117,0.236358769525974,0.046875,0.09375,0.109375
"UNEMP",-0.0682772709971795,0.0696868139950859,-0.100461506657819,-0.0550375371999013,-0.0154713529401302,0.328125,0.390625,0.453125
"F-test",NA,NA,NA,NA,NA,0.1875,0.375,0.484375
"Adj_R2",0.467997053390572,0.248445684931227,0.282726456685379,0.466870501273286,0.639708960047806,NA,NA,NA
"No_Obs",243.46875,89.6355883032861,162.75,223,312.75,NA,NA,NA
