"","mean","sd","lq","median","uq","rej_1","rej_5","rej_10"
"Intercept",0.511130459832144,0.76739007943686,0.0727776139481793,0.272669424377008,0.733541782098742,0.25,0.421875,0.546875
"CPI_forward",0.585094055616491,0.249935387846686,0.471483964251344,0.637489317628653,0.725838470513892,0.921875,0.96875,0.96875
"CPI_backward",0.206400499500172,0.122478775162687,0.145504840412735,0.220028761383144,0.271536196259931,0.90625,0.96875,0.96875
"Score_1",-0.0877799930957742,0.360182196915095,-0.159746029973442,-0.0209882649579607,0.0870223962085633,0.140625,0.21875,0.3125
"Score_2",0.259305040824101,0.400937746812615,0.014186143406297,0.166610557214281,0.402792209305074,0.140625,0.1875,0.296875
"Score_3",-0.0415225105758927,0.406863302531433,-0.160559308300989,-0.0172998665886376,0.0968894358689204,0.015625,0.15625,0.171875
"UNEMP",-0.014339646918182,0.0459943967178304,-0.0348806238313976,-0.00628990837132746,0.00680617551925219,0.046875,0.234375,0.25
"F-test",NA,NA,NA,NA,NA,0.1875,0.265625,0.3125
"Adj_R2",0.648928206385576,0.252130989575369,0.508305976487363,0.666925750649406,0.855716146731762,NA,NA,NA
"No_Obs",182.28125,67.152626146806,122.25,166.5,234.5,NA,NA,NA
