"","mean","sd","lq","median","uq","rej_1","rej_5","rej_10"
"Intercept",0.750944209178106,0.74446533219486,0.284203522006105,0.747737586097067,1.13511630259075,0.4375,0.578125,0.6875
"CPI",0.825318897720597,0.300042076292889,0.679159741771981,0.87881650837741,1.02038265489934,0.953125,0.96875,0.96875
"Score_1",0.0963052626774112,0.463930571428076,-0.225228248881509,0.164448689656435,0.36423401376051,0.28125,0.46875,0.546875
"Score_2_Positive",0.426581662623729,0.770553256761262,-0.0988829314792697,0.252385474714103,0.730315150747336,0.03125,0.0625,0.140625
"Score_2_Negative",0.316233752120696,0.694374697936777,-0.0166275214694637,0.237640123813045,0.615588019845217,0,0.0625,0.09375
"Score_3",-0.000550454183378872,0.467006155268347,-0.21240915426971,0.021860395136686,0.211087544789981,0.046875,0.078125,0.109375
"UNEMP",-0.0685534025737447,0.0690279873023392,-0.0991795367938463,-0.0555419862031622,-0.0146606002023456,0.9375,0.984375,1
"F-test",NA,NA,NA,NA,NA,0.25,0.375,0.484375
"Adj_R2",0.467352093889998,0.250177290401665,0.283967336931187,0.465575597989329,0.639856493292525,NA,NA,NA
"No_Obs",243.46875,89.6355883032861,162.75,223,312.75,NA,NA,NA
