"","mean","sd","lq","median","uq","rej_1","rej_5","rej_10"
"Intercept",0.755945287263054,0.787024042065919,0.28456959323225,0.726804121580079,1.23716056896243,0.40625,0.640625,0.6875
"CPI",0.825628651611161,0.302779897243497,0.682536075648123,0.888152663291325,1.02385768007569,0.953125,0.96875,0.96875
"Score_1",0.080993650775225,0.466875901729018,-0.212723601501185,0.152900985829354,0.362841731451279,0.25,0.46875,0.53125
"Score_2",0.379333918290727,0.458190933926948,0.0282448928657636,0.279019945370862,0.606075215172706,0.078125,0.21875,0.28125
"Score_3",0.0100982145045341,0.449986408873589,-0.181783638901937,-0.000446531307030153,0.286387427359939,0.03125,0.09375,0.140625
"UNEMP",-0.0663361019892652,0.0691235235520831,-0.0981927233290282,-0.0526118020598011,-0.0167346581358554,0.34375,0.40625,0.40625
"FE_h1",-0.0174122869575367,0.21563489924402,-0.105507912491528,0.0106663298129874,0.114446293549564,0.046875,0.140625,0.21875
"FE_h2",-0.0158979888617843,0.225115696007572,-0.0929465834745301,0.00383047400282948,0.132508313516297,0.046875,0.171875,0.234375
"FE_h3",-0.00890162687055786,0.228236003222429,-0.109320531480465,0.00217573207108559,0.0963177592753955,0.0625,0.125,0.21875
"F-test",NA,NA,NA,NA,NA,0.25,0.4375,0.5625
"Adj_R2",0.468813766814634,0.248136375400777,0.280563712007378,0.466421384957171,0.639521749631249,NA,NA,NA
"No_Obs",243.46875,89.6355883032861,162.75,223,312.75,NA,NA,NA
