"","mean","sd","lq","median","uq","rej_1","rej_5","rej_10"
"Intercept",0.816788125468659,0.838814172265836,0.303920253668708,0.863845694203362,1.31942509111088,0.457627118644068,0.610169491525424,0.677966101694915
"CPI",0.813747667542549,0.313549630670408,0.646985681022514,0.848572551944692,1.03357061104577,0.949152542372881,0.966101694915254,0.966101694915254
"VIX",-0.00400451416861319,0.0117702360336347,-0.011175201250023,-0.00328982777823717,0.00156817858088735,0.11864406779661,0.220338983050847,0.288135593220339
"Score_1",0.0960475973465837,0.47591615987747,-0.200681587158803,0.164973525232735,0.396266851871342,0.271186440677966,0.457627118644068,0.525423728813559
"Score_2",0.349039997850204,0.481499553107561,0.00856109293138738,0.23813632864909,0.572605844272716,0.0508474576271186,0.169491525423729,0.288135593220339
"Score_3",-0.0366861960698944,0.508374918952017,-0.240472188952181,-0.01278920319727,0.176646758932681,0.0338983050847458,0.0677966101694915,0.101694915254237
"UNEMP",-0.0615294168575051,0.0691728810399649,-0.0983266269892445,-0.0463514675160207,-0.00940872408063532,0.322033898305085,0.389830508474576,0.474576271186441
"F-test",NA,NA,NA,NA,NA,0.220338983050847,0.406779661016949,0.593220338983051
"Adj_R2",0.448090691203635,0.241477724836348,0.284749993190856,0.442823968191163,0.598878072963659,NA,NA,NA
"No_Obs",241.576271186441,88.8303698047539,172,223,300.5,NA,NA,NA
